companyId|loanId|loanAmount|createTime|org
13194139540812|304838224411361280|87546474,00|1671545729205|Marcus by Goldman Sachs
13194139540812|307371499201757185|95229942,00|1672342159309|Upstart
13194139540812|303149374551097346|46335990,00|1671026983396|Funding Circle
15393162806364|302867899574386691|83941103,00|1670933084928|LendingPoint
15393162806364|307652974178467844|5481728,00|1672370719854|BlueVine
15393162806364|302023474644254725|91694574,00|1670638688748|Bank of America
10995116285261|254454203580153862|10220153,00|1656075076930|Bank of America
1099511655277|277816626647138311|65706506,00|1663208628382|Peerform
7502|255580103486996488|99172595,00|1656395605968|Avant
7502|123568339409698825|48056153,00|1615871451670|Roofstock
3298534900830|119627689735749642|8621688,00|1614604207326|LendingPoint
3298534900830|268809427392397323|1857258,00|1660468611218|OnDeck
3298534900830|167196960799850508|63607192,00|1629262920263|PNC Bank
3298534900830|142427162849312781|80920848,00|1621647663469|LendingPoint
6597069794158|272187127112925198|20803925,00|1661466016078|PNC Bank
6597069794158|249950603952783375|13697542,00|1654640056228|PNC Bank
6597069794158|182115134565515280|67303570,00|1633861493134|BlueVine
6597069794158|260646653067788305|12619787,00|1657961878378|LendingPoint
12094627943039|298927249900437522|85191235,00|1669708523739|Patch of Land
12094627943039|254735678556864531|28477353,00|1656109378444|Bank of America
12094627943039|277816626647138324|10796582,00|1663209617575|Earnest
12094627943039|249950603952783381|23232221,00|1654686535060|Capital One
7504|107524265737191446|99030107,00|1610900437156|Peerform
4398046528608|108368690667323415|7699034,00|1611141377379|SoFi
14293651188592|288512675762143256|85663546,00|1666548621976|Roofstock
14293651188592|289638575668985881|66363246,00|1666906564808|Marcus by Goldman Sachs
14293651188592|282038751297798170|78274751,00|1664502404567|TD Bank
12094627943040|260083703114367003|76650452,00|1657758381154|LendingClub
12094627943040|302023474644254748|9643163,00|1670694965581|SunTrust
12094627943040|260365178091077661|84871635,00|1657903833775|US Bank
12094627943040|245447004325412894|41398538,00|1653330635181|Patch of Land
12094627923041|297238400040173599|12863057,00|1669168355981|American Express
12094627923041|272187127112925216|48233198,00|1661496534659|Navy Federal Credit Union
12094627923041|247698804139098145|70341707,00|1653942305367|Kabbage
12094627923041|285134976041615394|64665654,00|1665462345679|Bank of America
6597069794161|195907408424337443|98792856,00|1638052239407|Capital One
14293651198593|307371499201757220|74220094,00|1672319687115|Patch of Land
14293651198593|307652974178467877|39249272,00|1672363487170|State Farm Bank
14293651198593|285416451018326054|88096824,00|1665541502555|Kabbage
14293651198593|295831025156620327|25540319,00|1668743341043|Peerform
9895604667490|217580981631057960|58136436,00|1644758892768|Earnest
7696581421938|234188005256986665|29246248,00|1649856185234|Citibank
10995116315266|290483000599117866|34228934,00|1667113593923|OnDeck
10995116315266|249669128976072747|77338927,00|1654546629708|LendingClub
1099511635283|164382211032743980|11150773,00|1628380305104|Navy Federal Credit Union
1099511635283|169730235590246445|57213504,00|1630013381403|Kabbage
1099511635283|134264388524703790|37484712,00|1619159421236|TD Bank
9895604667491|300616099760701487|41178099,00|1670255099985|Upgrade
7696581421939|280631376414244912|81191397,00|1664129434793|Upgrade
9895604657492|282038751297798193|95762628,00|1664561735584|Patch of Land
10995116305268|254735678556864562|35688076,00|1656168003305|American Express
10995116305268|293579225342935091|40693052,00|1668066418496|Upstart
12094627943044|279505476507402292|55283737,00|1663761762787|RealtyMogul
1099511635285|298082824970305589|71081781,00|1669421885691|PNC Bank
9895604657494|275564826833453110|59160547,00|1662558063980|Avant
8796093039718|242632254558306359|71732757,00|1652438331083|Marcus by Goldman Sachs
8796093039718|212514432050266168|48364906,00|1643154838745|Funding Circle
8796093039718|199003633168154681|17599079,00|1639059871560|Peerform
8796093039718|298645774923726906|59444586,00|1669669143591|SunTrust
7696581431942|169730235590246459|54745053,00|1630055492309|RealtyMogul
4398046518615|203507232795525180|87101686,00|1640433691003|LendingClub
4398046518615|121598014572724285|69521982,00|1615246170774|PNC Bank
4398046518615|285979400971747390|75846963,00|1665715253359|OnDeck
4398046518615|160160086382084159|58254022,00|1627062077022|TD Bank
7696581411943|302586424597676096|17611344,00|1670878644820|Earnest
7696581411943|238691604884357185|90528837,00|1651231883714|PNC Bank
9895604687495|299208724877148226|45993137,00|1669790766952|BlueVine
8796093029720|229684405629616195|65131865,00|1648483514183|Best Egg
17512|32088971978735684|43171495,00|1587752209133|Upgrade
15393162816376|307652974178467909|91915930,00|1672416665412|SunTrust
15393162816376|305964124318203974|3992051,00|1671876475480|Wells Fargo
5497558176392|124131289363120199|77299397,00|1616031718874|Marcus by Goldman Sachs
15393162806377|304275274457940040|46518409,00|1671378869557|TD Bank
15393162806377|307652974178467913|19793607,00|1672380745013|Best Egg
8796093049721|171982035403931722|73359714,00|1630703992113|SunTrust
4398046548617|125538664246673483|36053982,00|1616430697032|Earnest
10995116295274|279786951484112972|7009332,00|1663878969706|Marcus by Goldman Sachs
10995116295274|265713202648580173|12695712,00|1659498586938|Chase Bank
10995116295274|223491956141981774|66314325,00|1646581616828|Discover
10995116295274|305119699388072015|12043048,00|1671611544781|SoFi
4398046538618|276690726740295760|56909788,00|1662929682980|Rocket Loans
1099511665290|255017153533575249|63193538,00|1656199067748|Best Egg
1099511665290|139893888058916946|32549506,00|1620888168327|Peerform
1099511665290|261209603021209683|82247801,00|1658160245838|LightStream
3298534890843|89791342204420180|9215262,00|1605467793298|Earnest
1099511645291|245728479302123605|41145850,00|1653419239817|Capital One
1099511645291|177893009914855510|39728680,00|1632525537574|US Bank
8796093049723|257268953347260503|6953708,00|1656956425475|Rocket Loans
8796093049723|193937083587362904|1832797,00|1637462554914|SoFi
37515|40251746303344729|19554795,00|1590263022434|Best Egg
