id|createTime|loanAmount|balance|usage|interestRate
304838224411361280|1671545729205|87546474,00|87546474,00|renovations|0,094
307371499201757185|1672342159309|95229942,00|95229942,00|business ventures|0,090
303149374551097346|1671026983396|46335990,00|46335990,00|education|0,078
302867899574386691|1670933084928|83941103,00|83941103,00|business ventures|0,069
307652974178467844|1672370719854|5481728,00|5481728,00|vacations|0,021
302023474644254725|1670638688748|91694574,00|91694574,00|renovations|0,042
254454203580153862|1656075076930|10220153,00|10220153,00|weddings|0,088
277816626647138311|1663208628382|65706506,00|65706506,00|investing|0,092
255580103486996488|1656395605968|99172595,00|99172595,00|investing|0,083
123568339409698825|1615871451670|48056153,00|48056153,00|major purchases|0,047
119627689735749642|1614604207326|8621688,00|8621688,00|renovations|0,024
268809427392397323|1660468611218|1857258,00|1857258,00|education|0,068
167196960799850508|1629262920263|63607192,00|63607192,00|funerals|0,001
142427162849312781|1621647663469|80920848,00|80920848,00|education|0,027
272187127112925198|1661466016078|20803925,00|20803925,00|funerals|0,071
249950603952783375|1654640056228|13697542,00|13697542,00|major purchases|0,012
182115134565515280|1633861493134|67303570,00|67303570,00|other|0,036
260646653067788305|1657961878378|12619787,00|12619787,00|major purchases|0,050
298927249900437522|1669708523739|85191235,00|85191235,00|other|0,087
254735678556864531|1656109378444|28477353,00|28477353,00|funerals|0,084
277816626647138324|1663209617575|10796582,00|10796582,00|weddings|0,052
249950603952783381|1654686535060|23232221,00|23232221,00|debt consolidation|0,090
107524265737191446|1610900437156|99030107,00|99030107,00|vacations|0,005
108368690667323415|1611141377379|7699034,00|7699034,00|vacations|0,042
288512675762143256|1666548621976|85663546,00|85663546,00|weddings|0,029
289638575668985881|1666906564808|66363246,00|66363246,00|other|0,041
282038751297798170|1664502404567|78274751,00|78274751,00|major purchases|0,058
260083703114367003|1657758381154|76650452,00|76650452,00|weddings|0,061
302023474644254748|1670694965581|9643163,00|9643163,00|debt consolidation|0,063
260365178091077661|1657903833775|84871635,00|84871635,00|medical expenses|0,069
245447004325412894|1653330635181|41398538,00|41398538,00|debt consolidation|0,069
297238400040173599|1669168355981|12863057,00|12863057,00|investing|0,012
272187127112925216|1661496534659|48233198,00|48233198,00|debt consolidation|0,065
247698804139098145|1653942305367|70341707,00|70341707,00|investing|0,065
285134976041615394|1665462345679|64665654,00|64665654,00|funerals|0,069
195907408424337443|1638052239407|98792856,00|98792856,00|medical expenses|0,090
307371499201757220|1672319687115|74220094,00|74220094,00|funerals|0,035
307652974178467877|1672363487170|39249272,00|39249272,00|other|0,045
285416451018326054|1665541502555|88096824,00|88096824,00|investing|0,095
295831025156620327|1668743341043|25540319,00|25540319,00|medical expenses|0,055
217580981631057960|1644758892768|58136436,00|58136436,00|renovations|0,057
234188005256986665|1649856185234|29246248,00|29246248,00|education|0,073
290483000599117866|1667113593923|34228934,00|34228934,00|business ventures|0,064
249669128976072747|1654546629708|77338927,00|77338927,00|renovations|0,080
164382211032743980|1628380305104|11150773,00|11150773,00|funerals|0,059
169730235590246445|1630013381403|57213504,00|57213504,00|vacations|0,032
134264388524703790|1619159421236|37484712,00|37484712,00|other|0,078
300616099760701487|1670255099985|41178099,00|41178099,00|weddings|0,073
280631376414244912|1664129434793|81191397,00|81191397,00|business ventures|0,002
282038751297798193|1664561735584|95762628,00|95762628,00|vacations|0,069
254735678556864562|1656168003305|35688076,00|35688076,00|other|0,001
293579225342935091|1668066418496|40693052,00|40693052,00|weddings|0,002
279505476507402292|1663761762787|55283737,00|55283737,00|renovations|0,018
298082824970305589|1669421885691|71081781,00|71081781,00|medical expenses|0,013
275564826833453110|1662558063980|59160547,00|59160547,00|renovations|0,085
242632254558306359|1652438331083|71732757,00|71732757,00|funerals|0,071
