id|createTime|type|isBlocked|lastLogin|riskLevel
26388279106624|1622838463836|MAC|false|1653248614951|Minimal risk
57174604684353|1663941033936|PHONE|false|1668504137877|Critical risk
48378511662146|1651063233477|MAC|false|1663334289013|Low risk
35184372128835|1630108152108|IPv4|false|1640346426671|Very high risk
35184372128836|1635678526528|PHONE|false|1660075234256|Low risk
8796093062213|1593585818510|RFID|true|1656037825809|Low risk
30786325617734|1628849468199|RFID|false|1669667151222|Severe risk
21990232595527|1610558596531|RFID|false|1668140777929|Extreme risk
43980465151048|1646122567077|ATM|false|1666139625782|Low risk
48378511662153|1651774081430|WIFI|false|1655200738024|Significant risk
43980465151050|1648903222134|NFC|false|1671957783326|Moderate risk
21990232595531|1612186011064|IPv4|true|1671200474641|Critical risk
13194139573324|1602440765954|IPv6|false|1617480481685|Very high risk
39582418639949|1639235119567|MAC|false|1654119636644|Minimal risk
4398046551118|1587584592863|NFC|false|1609315907175|Minimal risk
26388279106639|1621343907661|PHONE|false|1664249978213|Significant risk
52776558173264|1662211463217|ATM|false|1670876189889|Minimal risk
48378511662161|1651712362360|RFID|false|1654322102818|Low risk
39582418639954|1641988410775|ATM|false|1645811618211|Extreme risk
21990232595539|1610672353489|POS|false|1662128083227|Extreme risk
39582418639956|1643050510569|ATM|false|1661857153469|Very high risk
17592186084437|1603980542669|QRCode|false|1667129497620|Low risk
61572651195478|1669398741888|WIFI|false|1669541876485|Severe risk
57174604684375|1666711421390|WIFI|false|1667387823233|Low risk
13194139573336|1603435047485|RFID|false|1650041412692|Extreme risk
43980465151065|1647097737517|POS|false|1672285209566|Moderate risk
21990232595546|1611561210844|IPv4|false|1655836252898|Very high risk
57174604684379|1663482702163|MAC|false|1666699612819|Moderate risk
40028|1581225345761|QRCode|false|1638721375520|Critical risk
35184372128861|1634781900064|WIFI|false|1668922849508|Extreme risk
57174604684382|1668390792070|RFID|false|1670685110103|Very high risk
30786325617759|1629355993905|QRCode|false|1637271435389|Low risk
39582418639968|1638796984512|MAC|false|1657293615714|Severe risk
30786325617761|1630017048081|IPv6|false|1666107440026|Significant risk
48378511662178|1652997790262|POS|false|1653808037590|Very high risk
21990232595555|1612403919925|WIFI|false|1657764849650|Low risk
21990232595556|1611201950841|RFID|false|1613410023144|Minimal risk
4398046551141|1587249287834|WIFI|false|1657773893498|Low risk
30786325617766|1624027012071|RFID|false|1649171720634|Low risk
17592186084455|1605824920388|ATM|false|1634176774708|Significant risk
52776558173288|1660588273129|PHONE|false|1668811722905|Extreme risk
57174604684393|1665847593847|POS|false|1666134059140|Moderate risk
43980465151082|1645685422125|QRCode|false|1648563334889|Low risk
17592186084459|1605359977202|MAC|false|1664242506655|Severe risk
57174604684396|1667810938150|WIFI|false|1671835304198|Significant risk
4398046551149|1585580038172|QRCode|false|1590214483382|Very high risk
61572651195502|1669336209016|IPv6|false|1669615511522|Critical risk
8796093062255|1596994800118|PHONE|false|1657640043743|Extreme risk
57174604684400|1666950640551|PHONE|false|1672037254180|Very high risk
52776558173297|1660686207793|WIFI|false|1669229202988|High risk
17592186084466|1605139918739|ATM|false|1613470085006|Low risk
8796093062259|1594405012786|IPv4|false|1642636851846|High risk
17592186084468|1609828864268|IPv6|false|1620269956365|Minimal risk
48378511662197|1653774992582|IPv6|false|1662863542268|Significant risk
40054|1582034729843|IPv4|false|1624464285536|Minimal risk
30786325617783|1625233843600|ATM|false|1649203751704|Low risk
13194139573368|1602588429248|PHONE|false|1605331878619|Severe risk
52776558173305|1657648645030|IPv4|false|1671945512005|Moderate risk
57174604684410|1664257867653|MAC|false|1665746507778|Low risk
48378511662203|1655639955503|QRCode|false|1665008467794|Extreme risk
39582418639996|1642892494437|POS|false|1665451366290|Critical risk
35184372128893|1634735267109|POS|false|1651657121614|Minimal risk
43980465151102|1648755996809|ATM|false|1662644984963|Very high risk
48378511662207|1654228310011|POS|false|1665035143918|Very high risk
21990232595584|1610861334688|QRCode|false|1668546409241|Very high risk
26388279106689|1617811562146|ATM|false|1642739509507|Very high risk
13194139573378|1601215938720|MAC|false|1652804274101|Extreme risk
57174604684419|1666618636894|WIFI|false|1671833552295|Critical risk
40068|1579684452457|WIFI|false|1612785804711|Extreme risk
8796093062277|1595875742776|POS|false|1595901655270|Very high risk
43980465151110|1646818483782|IPv6|false|1653676625875|High risk
52776558173319|1658069357963|MAC|false|1669360947874|Low risk
4398046551176|1590887032546|RFID|false|1611826340936|High risk
48378511662217|1653825411338|RFID|true|1654429175867|Low risk
48378511662218|1654396814815|POS|false|1662240567877|Severe risk
43980465151115|1646620480188|NFC|true|1671375337175|Minimal risk
35184372128908|1630632122353|IPv4|false|1660326660066|Critical risk
26388279106701|1617843626242|IPv4|true|1619477169616|Critical risk
4398046551182|1589636448713|IPv6|false|1654948532180|Significant risk
39582418640015|1641703853630|NFC|false|1669558421204|Severe risk
30786325617808|1628399635958|PHONE|false|1640174558987|Significant risk
30786325617809|1624623338762|RFID|false|1648131128114|Moderate risk
48378511662226|1653674780667|WIFI|false|1661315443175|High risk
30786325617811|1626786073815|WIFI|false|1627704144181|Moderate risk
57174604684436|1665676933372|PHONE|false|1665950434020|Significant risk
8796093062293|1591103159702|IPv4|false|1654314393674|Minimal risk
48378511662230|1655720880216|MAC|false|1668274321786|Significant risk
30786325617815|1627914973380|QRCode|false|1655396966976|Moderate risk
40088|1578479460187|IPv6|false|1608080297282|Minimal risk
40089|1580073582542|WIFI|false|1628851731321|Severe risk
40090|1581509337256|ATM|false|1656239454921|Moderate risk
43980465151131|1645284712622|RFID|false|1670741257007|Moderate risk
8796093062300|1593008689653|MAC|false|1634549236207|Very high risk
57174604684445|1668821187662|ATM|false|1671258816846|Moderate risk
4398046551198|1585723825171|RFID|false|1638518818630|Moderate risk
43980465151135|1649672172462|IPv4|false|1658537046651|Minimal risk
17592186084512|1605636026121|IPv6|false|1660322925393|Severe risk
35184372128929|1632570083177|ATM|false|1662359208047|Significant risk
4398046551202|1587471078355|QRCode|false|1629047497006|Severe risk
35184372128931|1634107032683|POS|false|1670841751209|Minimal risk
39582418640036|1641862890955|IPv4|false|1666059351484|Extreme risk
4398046551205|1586107480071|IPv6|false|1631331406704|Severe risk
48378511662246|1654846316467|RFID|false|1662352660925|Low risk
26388279106727|1620974756193|ATM|false|1668551701193|Extreme risk
30786325617832|1627929352458|QRCode|false|1665969774335|Low risk
48378511662249|1655423188368|POS|false|1655437450324|Significant risk
4398046551210|1586774573373|POS|false|1667292921723|Critical risk
48378511662251|1650610222157|MAC|false|1670536101831|Moderate risk
43980465151148|1644235702270|IPv6|false|1663832483800|Minimal risk
30786325617837|1624668498967|RFID|false|1659422551093|Significant risk
61572651195566|1669939881205|WIFI|false|1671302658208|Minimal risk
43980465151151|1645847793443|IPv4|false|1658155161401|Critical risk
21990232595632|1612653084216|PHONE|false|1654854337819|Extreme risk
17592186084529|1610363571352|RFID|false|1647402161621|Minimal risk
39582418640050|1638704954460|MAC|false|1671545499741|High risk
17592186084531|1604895298099|IPv4|false|1624828833192|Severe risk
48378511662260|1653654505273|QRCode|false|1668516956214|Critical risk
4398046551221|1586387741300|POS|false|1639966523174|Extreme risk
52776558173366|1661079460470|RFID|true|1663546363642|Moderate risk
43980465151159|1644323457545|RFID|false|1662808662461|Severe risk
57174604684472|1664555733536|IPv4|false|1672217797164|Moderate risk
30786325617849|1625646848304|POS|false|1628776207714|Critical risk
40122|1578360865268|IPv6|false|1655199986695|Minimal risk
43980465151163|1646351990244|NFC|false|1650719972281|Extreme risk
26388279106748|1622789902867|RFID|false|1635441784776|High risk
43980465151165|1643876911917|ATM|false|1655218644740|High risk
21990232595646|1616534493490|WIFI|true|1658646964665|Minimal risk
52776558173375|1659968897036|IPv4|false|1672016042992|Moderate risk
30786325617856|1628805134547|QRCode|false|1629186840444|Very high risk
35184372128961|1632780810351|IPv6|false|1655615768124|Minimal risk
26388279106754|1618419737742|WIFI|false|1636043347204|Minimal risk
48378511662275|1650242675807|WIFI|false|1668831800964|Critical risk
40132|1578450302007|IPv6|false|1601433328918|Moderate risk
57174604684485|1668247068541|IPv6|false|1669666298395|Extreme risk
21990232595654|1610903229012|POS|false|1620699112781|Severe risk
4398046551239|1585752133347|MAC|false|1648505419109|High risk
52776558173384|1659074022846|QRCode|false|1659499410327|Minimal risk
30786325617865|1624597938138|IPv6|false|1631737763791|Minimal risk
4398046551242|1589445626833|IPv4|false|1659697183318|Moderate risk
40139|1583174508434|NFC|false|1646432088863|Low risk
40140|1578202556630|IPv4|false|1659310633887|High risk
30786325617869|1623769616021|WIFI|false|1667971606403|Low risk
21990232595662|1616572187816|PHONE|false|1652425302529|Severe risk
30786325617871|1625459891380|MAC|true|1646076287535|Minimal risk
30786325617872|1626411020884|POS|false|1665411801508|Significant risk
35184372128977|1632487151872|PHONE|true|1644239157601|Moderate risk
30786325617874|1624431160332|POS|false|1657359902016|Severe risk
21990232595667|1614456031209|QRCode|false|1664562506084|Low risk
17592186084564|1608785383898|PHONE|false|1624752862826|Low risk
57174604684501|1665605851461|IPv4|false|1667992204967|Severe risk
39582418640086|1638057863876|IPv6|false|1660302863321|Critical risk
21990232595671|1611945260789|WIFI|true|1661252707946|Very high risk
30786325617880|1624177356057|ATM|false|1632975049721|Critical risk
4398046551257|1585910640084|IPv6|false|1646655363706|Extreme risk
30786325617882|1624663479576|QRCode|false|1640993111375|Low risk
26388279106779|1621563362522|MAC|false|1627822680205|Low risk
17592186084572|1610155839110|PHONE|false|1643978268534|Very high risk
39582418640093|1642095772089|NFC|false|1657243736591|Critical risk
13194139573470|1601434167625|MAC|false|1662274812062|Significant risk
4398046551263|1588404683332|IPv6|false|1642394566155|Extreme risk
4398046551264|1586755173728|RFID|true|1608882253137|Significant risk
26388279106785|1619782903831|RFID|false|1624484332456|Very high risk
13194139573474|1602397655564|POS|false|1665116169196|Significant risk
48378511662307|1655502652471|NFC|false|1668169206250|Severe risk
43980465151204|1643293973055|NFC|false|1660110067998|Critical risk
26388279106789|1620658432643|IPv6|false|1630700146434|Severe risk
8796093062374|1591055509429|NFC|false|1643755094237|Critical risk
35184372128999|1631920566210|POS|false|1657319302895|Moderate risk
52776558173416|1661794193855|ATM|false|1669702727551|Very high risk
26388279106793|1619769106822|IPv4|false|1640957326342|Significant risk
17592186084586|1610496321821|RFID|false|1624251237234|Minimal risk
39582418640107|1641225140221|IPv4|false|1641406873958|Very high risk
40172|1580703532483|NFC|false|1642331705511|Extreme risk
61572651195629|1671031350729|POS|false|1671666322837|Moderate risk
30786325617902|1629043035883|NFC|true|1663466778137|Minimal risk
57174604684527|1668317042881|WIFI|false|1670953418203|Minimal risk
4398046551280|1590438562877|ATM|false|1624972922686|Severe risk
52776558173425|1660065429401|MAC|false|1671156162722|Minimal risk
13194139573490|1602672571194|NFC|true|1669328964421|Minimal risk
39582418640115|1642145474015|NFC|false|1650720430142|Critical risk
21990232595700|1616108254980|PHONE|false|1667150965163|High risk
30786325617909|1625304487162|QRCode|false|1672520431379|Critical risk
39582418640118|1637091089533|RFID|false|1653155207410|High risk
61572651195639|1672272339635|NFC|false|1672274633404|High risk
35184372129016|1634897438934|MAC|false|1645468923668|Significant risk
13194139573497|1602899320404|POS|false|1659881564909|Low risk
8796093062394|1591646869882|ATM|false|1618008960756|Significant risk
40187|1579433222150|WIFI|false|1616967365233|Extreme risk
13194139573500|1599212808335|ATM|false|1643149906159|High risk
48378511662333|1652572256694|QRCode|false|1663839158460|Moderate risk
40190|1580963832141|QRCode|false|1649426831963|Critical risk
30786325617919|1628666487038|IPv6|false|1630490550993|Minimal risk
48378511662336|1650649175498|IPv4|false|1665177849131|Moderate risk
52776558173441|1656353965261|QRCode|false|1669389652079|Significant risk
43980465151234|1643952654943|MAC|false|1653456844046|Minimal risk
8796093062403|1593086645764|RFID|false|1623149853247|Critical risk
40196|1581013513702|POS|false|1583058167319|Severe risk
57174604684549|1668868713775|NFC|false|1669138243870|Minimal risk
35184372129030|1632336687295|WIFI|false|1648846757563|Significant risk
13194139573511|1601760659262|IPv4|false|1638626699803|Critical risk
43980465151240|1647545050641|PHONE|false|1667018596708|Minimal risk
39582418640137|1638935648154|IPv4|false|1640608080373|Low risk
48378511662346|1652576514262|MAC|false|1669641343816|Very high risk
17592186084619|1604028276597|RFID|false|1658594247948|Severe risk
26388279106828|1622875121676|RFID|false|1647739330235|Extreme risk
13194139573517|1603889370871|ATM|false|1613489730056|Low risk
39582418640142|1638144550225|NFC|false|1650426829864|High risk
26388279106831|1619617237334|ATM|false|1624064515702|Severe risk
26388279106832|1620782375280|IPv4|false|1662820833889|Extreme risk
43980465151249|1647085125891|MAC|false|1671092475553|Significant risk
17592186084626|1609847675174|QRCode|false|1651330395289|Minimal risk
8796093062419|1595661758540|PHONE|false|1631565371405|Extreme risk
13194139573524|1597706771440|POS|false|1629888116759|Minimal risk
35184372129045|1634150407403|MAC|false|1667205789074|Very high risk
40214|1578632217103|PHONE|false|1594092960300|High risk
40215|1578315312496|IPv4|false|1661890473016|Moderate risk
40216|1581305759383|RFID|false|1605046206403|Low risk
39582418640153|1637315701888|QRCode|false|1666748329724|Critical risk
21990232595738|1611554670411|IPv4|false|1638739833128|Minimal risk
13194139573531|1600254265822|IPv4|false|1609041541636|Minimal risk
39582418640156|1640549399958|RFID|false|1669349033202|Severe risk
21990232595741|1610603882361|WIFI|false|1611466441642|Very high risk
8796093062430|1594060973944|IPv6|false|1654418496881|Critical risk
40223|1583578702440|PHONE|false|1636507743586|Minimal risk
13194139573536|1602535961690|QRCode|false|1626358923484|Severe risk
30786325617953|1624887910152|IPv6|false|1669658768216|Significant risk
17592186084642|1604495909666|RFID|false|1625730127289|Moderate risk
35184372129059|1630209606747|IPv6|false|1640386308372|High risk
52776558173476|1656894932092|PHONE|false|1671138727074|Severe risk
40229|1583844554527|ATM|false|1649398829010|Significant risk
17592186084646|1604114809365|POS|false|1666137132443|High risk
48378511662375|1655996818456|RFID|false|1670456002531|Significant risk
30786325617960|1629305082912|NFC|false|1653808194196|Extreme risk
57174604684585|1667855498370|NFC|false|1670858928032|Minimal risk
61572651195690|1670899633215|WIFI|false|1671503390915|Very high risk
30786325617963|1628581920857|IPv4|false|1642716065647|Minimal risk
