personId|loanId|loanAmount|createTime|org
8796093024708|4854880948061208576|53038469,00|1652574259416|Prosper
28587302334676|4911175943403339777|25800914,00|1669903258472|Upgrade
28587302334676|4917086917914263554|75198645,00|1671682394483|Upstart
28587302334676|4907235293729390595|34285168,00|1668706434480|State Farm Bank
28587302334676|4916523967960842244|98219437,00|1671517563976|American Express
19791209322468|4857132747874893829|29860953,00|1653280390574|Kabbage
19791209322468|4825326075506589702|47641488,00|1643548289092|LendingClub
19791209322468|4878524846104903687|81568569,00|1659830596279|OneMain Financial
19791209322468|4872332396617269256|2077889,00|1657987915533|Avant
26388279109124|4884717295592538121|76670420,00|1661730841731|Rocket Loans
26388279109124|4911457418380050442|68492788,00|1669947466871|Bank of America
26388279109124|4903294644055441419|99068241,00|1667432480332|Fundbox
15393162851364|4899353994381492236|39081780,00|1666287975312|Roofstock
15393162851364|4808156101927239693|1810041,00|1638249422511|OneMain Financial
15393162851364|4802245127416315918|97221640,00|1636385831656|Wells Fargo
2199023328052|4777193854489067535|30872331,00|1628732305675|Wells Fargo
2199023328052|4869799121826873360|53670537,00|1657154209102|SunTrust
2199023328052|4678396137663627281|14591293,00|1598398347407|Prosper
2199023328052|4682618262314287122|78495453,00|1599636718043|Funding Circle
24189255833573|4882746970755563539|19150044,00|1661146178108|Roofstock
24189255843573|4886969095406223380|29412232,00|1662491089242|Roofstock
24189255843573|4868954696896741397|46741393,00|1656939682376|LendingPoint
24189255843573|4913990693170446358|19189882,00|1670790939978|BlueVine
24189255843573|4891754170010304535|46745742,00|1663926756407|Earnest
21990232608021|4898228094474649624|60639545,00|1665876021674|Patch of Land
4398046573605|4834614749738041369|54587249,00|1646361938985|American Express
4398046573605|4856288322944761882|73503328,00|1653005544953|PNC Bank
17592186056918|4899635469358202907|20370608,00|1666349666371|Fundbox
26388279089126|4913427743217025052|63655681,00|1670578183081|Prosper
26388279089126|4887532045359644701|47929413,00|1662630180926|LendingClub
26388279089126|4903576119032152094|67975960,00|1667518067911|RealtyMogul
13194139565814|4909487093543075871|1127987,00|1669342027548|Navy Federal Credit Union
13194139565814|4825607550483300384|87296754,00|1643638594623|Capital One
13194139565814|4767060755327483937|22924157,00|1625618554261|Citibank
4398046563606|4869236171873452066|32466256,00|1657037083527|Avant
19791209362470|4911738893356761123|83050021,00|1670103638652|OneMain Financial
19791209362470|4915116593077288996|18750182,00|1671104687694|Fundrise
21990232628022|4843340474016071717|38018882,00|1649047271709|PNC Bank
21990232628022|4911175943403339814|92969717,00|1669919343260|SoFi
19791209302471|4863606672339238951|40867171,00|1655260957732|Roofstock
13194139545815|4828422300250406952|61312096,00|1644434614073|Funding Circle
13194139545815|4901605794195177513|26934955,00|1666923137767|Marcus by Goldman Sachs
13194139545815|4766497805374062634|39295746,00|1625438029784|Citibank
13194139545815|4905264968892416043|30568396,00|1668099527116|Avant
15393162821367|4886406145452802092|2998461,00|1662268403332|Upstart
8796093064711|4819978050949087277|24850037,00|1641903480940|SunTrust
10995116330263|4755801756259057710|6424547,00|1622144236212|OneMain Financial
2199023318055|4783104828999991343|59596498,00|1630506396969|Wells Fargo
2199023318055|4863325197362528304|79014918,00|1655168084131|Marcus by Goldman Sachs
2199023318055|4823918700623036465|12441826,00|1643121142146|US Bank
2199023328055|4700069710870347826|91323014,00|1605068324690|OneMain Financial
2199023328055|4756927656165900339|75707086,00|1622462714748|OneMain Financial
2199023328055|4809563476810793012|82048459,00|1638686291756|Navy Federal Credit Union
8796093024712|4785919578767097909|51359781,00|1631376063105|OnDeck
8796093024712|4728217208541413430|33067842,00|1613723602977|Avant
8796093024712|4830392625087381559|20402750,00|1645102295020|Marcus by Goldman Sachs
8796093024712|4818852151042244664|72673806,00|1641525864467|Patch of Land
19791209312472|4849814398480416825|27980475,00|1651023975515|OneMain Financial
19791209312472|4910331518473207866|98067032,00|1669664730596|Earnest
2199023288056|4902731694102020155|57312167,00|1667332370432|SunTrust
15393162851368|4858821597735157820|49391312,00|1653809098733|Best Egg
4398046583608|4688247761848500285|14766513,00|1601435697827|Rocket Loans
4398046583608|4899916944334913598|15568220,00|1666418373363|PNC Bank
4398046583608|4848688498573574207|92050081,00|1650691753922|Bank of America
4398046583608|4750453731701555264|35819003,00|1620472883598|Roofstock
8796093024713|4796615627882102849|2776886,00|1634663818035|Avant
8796093024713|4795208252998549570|55664130,00|1634295004389|SunTrust
8796093024713|4740602107516682307|96687781,00|1617516629920|Prosper
62505|4752987006491951172|36090484,00|1621318819426|US Bank
62505|4729061633471545413|29203082,00|1613914653987|Avant
62505|4779727129279463494|78008914,00|1629497468288|Capital One
19791209372473|4835177699691462727|17576513,00|1646556512436|RealtyMogul
19791209372473|4842496049085939784|84153655,00|1648766119057|TD Bank
19791209372473|4869236171873452105|68887317,00|1657050139961|Patch of Land
19791209372473|4844466373922914378|16483714,00|1649425450332|Wells Fargo
6597069769162|4709921335055220811|26510708,00|1608053375561|LendingPoint
4398046523610|4704854785474429004|40523456,00|1606478030173|US Bank
8796093054714|4844184898946203725|17321088,00|1649333361943|Upgrade
8796093054714|4892317119963725902|1777994,00|1664114713196|US Bank
15393162841370|4804496927230001231|14438680,00|1637103082547|Kabbage
15393162841370|4859384547688579152|40786677,00|1653990738963|Citibank
26388279139130|4901324319218466897|81370448,00|1666846937867|Navy Federal Credit Union
17592186056923|4851784723317391442|31660947,00|1651655301830|Capital One
17592186056923|4846436698759888979|3531101,00|1650009372132|US Bank
10995116300267|4748483406864580692|78189891,00|1619928462920|Marcus by Goldman Sachs
10995116300267|4818570676065534037|74117024,00|1641399665775|Discover
10995116300267|4787608428627361878|6153550,00|1631920190392|Navy Federal Credit Union
17592186076923|4895131869730832471|69888254,00|1664926569054|Wells Fargo
17592186076923|4885561720522670168|27547361,00|1661980924383|Patch of Land
17592186076923|4886969095406223449|52582202,00|1662450647309|LendingPoint
17592186076923|4872613871593979994|25269234,00|1658007238853|LendingClub
17592186096923|4858258647781736539|25709602,00|1653631666408|Rocket Loans
17592186096923|4856569797921472604|39435297,00|1653106766302|OnDeck
2199023318059|4736098507889311837|63545041,00|1616117587165|Earnest
17592186046924|4824481650576457822|58066685,00|1643225963016|SunTrust
17592186046924|4883309920708984927|95571746,00|1661324043864|Rocket Loans
17592186046924|4891472695033593952|39761877,00|1663804096776|LendingClub
19791209312476|4820822475879219297|41589518,00|1642145446375|RealtyMogul
21990232598028|4866139947129634914|45079307,00|1656098857760|American Express
13194139595820|4818007726112112739|76973426,00|1641283919145|Avant
13194139595820|4905546443869126756|67843918,00|1668196122672|LendingClub
13194139595820|4883309920708984933|76741078,00|1661341164489|Prosper
8796093094716|4898791044428071014|4215956,00|1666065667946|LightStream
13194139535821|4910894468426629223|94926685,00|1669819287417|BlueVine
21990232568029|4854036523131076712|89208367,00|1652308564749|American Express
21990232568029|4845592273829757033|52055908,00|1649722881982|Capital One
21990232568029|4867828796989898858|44975152,00|1656552620085|Rocket Loans
4398046543613|4709358385101799531|87466272,00|1607922736857|Wells Fargo
15393162831373|4876835996244639852|1767880,00|1659305341140|Roofstock
15393162831373|4767060755327484013|77421510,00|1625629202750|Capital One
13194139535822|4915116593077289070|19352100,00|1671137609402|OnDeck
13194139535822|4832362949924356207|93108942,00|1645670859828|BlueVine
13194139535822|4773253204815118448|51499403,00|1627505967644|OneMain Financial
13194139535822|4899635469358202993|34178146,00|1666354050230|BlueVine
13194139565822|4817726251135402098|39522322,00|1641207000180|OnDeck
30786325620238|4918775767774527603|71960048,00|1672260327481|LightStream
17592186096926|4809844951787503732|18086174,00|1638773691339|TD Bank
17592186096926|4792674978208153717|14429508,00|1633510652758|Roofstock
17592186096926|4799148902672498806|75138916,00|1635510883628|BlueVine
13194139605822|4815474451321716855|526197,00|1640502760485|OnDeck
13194139535823|4865576997176213624|12823518,00|1655923285949|SunTrust
13194139535823|4892880069917147257|38372325,00|1664237970232|Best Egg
15393162801375|4857132747874893946|95832207,00|1653249237536|Discover
6597069789167|4707388060264824955|87338937,00|1607311060051|Best Egg
6597069789167|4704291835521007740|9005830,00|1606318513645|LightStream
15393162831375|4801682177462894717|99889782,00|1636223901773|LendingClub
15393162831375|4844747848899625086|98254487,00|1649477734105|Earnest
15393162831375|4825607550483300479|14906194,00|1643587099960|Discover
15393162831375|4772408779884986496|2411392,00|1627229347665|State Farm Bank
26388279129135|4914272168147157121|4119772,00|1670815216869|SunTrust
