fromId|toId|createTime|relation
21990232563020|38326|1657821257611|parents
28587302359676|2199023303911|1669245632041|parents
28587302359676|15393162817072|1670884866140|friends
26388279144124|13194139561334|1671974241746|parents
2199023263053|15393162807444|1645386805406|parents
2199023263053|6597069804456|1664870584905|business associate
19791209317469|8796093040255|1665157390533|other relatives
19791209317469|2199023304277|1641132898522|other relatives
6597069794157|8796093090656|1632780362700|siblings
21990232603021|2199023273132|1653752985721|other relatives
17592186101917|8796093070421|1641014700358|parents
17592186101917|10995116325793|1657307882458|business associate
6597069834157|17592186053105|1662379209276|siblings
8796093039710|24189255888810|1662184719906|friends
8796093039710|28587302379679|1672436710432|business associate
10995116325262|6597069774609|1619965360783|other relatives
21990232623022|24189255869503|1655952616306|other relatives
21990232623022|2199023263177|1649621327109|business associate
21990232563023|30786325656471|1670723563332|business associate
13194139550815|2199023283934|1637135381342|parents
13194139550815|19791209317669|1660925903409|siblings
47503|7766|1670820609329|siblings
47503|26388279084636|1668515001049|parents
28587302379679|17592186083153|1670697619521|friends
10995116345263|2199023263139|1623086000013|business associate
24189255818576|2199023283384|1670705212121|friends
24189255818576|15393162837250|1665387748637|parents
17592186071920|30786325596325|1672380189821|friends
10995116325264|77978|1616311658113|business associate
10995116325264|2199023304143|1641631406163|business associate
21990232633024|8333|1649568563598|siblings
21990232633024|17592186051974|1655929908024|parents
13194139540817|26388279114363|1663368328779|parents
13194139540817|24189255828731|1655026640571|siblings
17505|6597069824752|1631127081705|friends
30786325615233|8796093100757|1672170259996|friends
30786325615233|8796093090614|1672444328761|parents
28587302369681|21990232593312|1671119617069|business associate
28587302369681|28587302379908|1671371167692|parents
21990232623025|19791209327847|1650293198361|friends
30786325655233|17592186112899|1672238006434|business associate
17592186051922|2199023283170|1658936331484|friends
17592186051922|24189255889665|1652329943877|siblings
28587302339682|19791209308642|1666324007874|other relatives
28587302339682|30786325635903|1670934546540|siblings
15393162816370|15393162857300|1638101199842|parents
15393162816370|28587302390471|1668246843941|parents
17592186101922|8011|1668069868706|parents
19791209327475|10995116286121|1658717495826|other relatives
47507|17592186103041|1668104047123|parents
47507|15393162796768|1633823225401|parents
24189255868579|10995116335733|1655434188305|siblings
10995116345267|19791209378584|1654167475491|friends
10995116345267|8796093039972|1664416156969|business associate
15393162866371|4398046539587|1660390361663|parents
26388279074132|26388279105258|1659724956241|other relatives
10995116315268|2199023294234|1622007584179|siblings
10995116315268|19791209317852|1652291550701|siblings
30786325605237|17733|1672132201197|friends
28587302379685|48502|1671191376812|siblings
6597069844165|13194139591413|1644536894449|siblings
6597069844165|17592186072105|1645530669026|siblings
21990232573030|2199023293616|1657387364080|other relatives
26388279114134|19791209348187|1666283392838|friends
4398046578614|8796093060387|1651854480566|business associate
4398046578614|24189255839050|1667997343383|siblings
7511|6597069814451|1652550197909|siblings
21990232583031|28587302380589|1670019753257|friends
17592186091927|26388279125251|1664210261084|friends
17592186091927|19791209318710|1666468229570|siblings
8796093029720|17592186102082|1633335717289|siblings
8796093029720|8796093029834|1662839682582|friends
27512|4398046578619|1658600617873|friends
27512|58401|1649920981183|friends
26388279144136|17592186112205|1663200110742|business associate
26388279144136|4398046529759|1661644509630|friends
26388279084137|10995116345520|1667246460819|friends
26388279084137|24189255818716|1658923972505|siblings
6597069794169|19791209347907|1645924020232|siblings
6597069794169|4398046569606|1654357785502|parents
15393162846377|48469|1628232070955|friends
6597069834169|2199023263515|1617588912015|other relatives
2199023293066|24189255879198|1666442288418|business associate
2199023293066|2199023294020|1634270840678|siblings
10995116335274|4398046529531|1626952455392|business associate
2199023323066|6597069804279|1671316119265|business associate
15393162806379|28587302340003|1668975238301|friends
15393162806379|15393162837507|1626553964673|business associate
28587302349691|4398046518681|1670930898714|friends
2199023293067|6597069814828|1635699309634|siblings
2199023293067|19791209347719|1670549988389|friends
10995116335275|8084|1646296931808|siblings
4398046578619|21990232573155|1648346219640|friends
4398046578619|17592186112425|1665853324982|siblings
17592186121931|8796093080731|1653814789766|business associate
17592186121931|6597069845021|1667116612919|business associate
10995116285276|48574|1617735197687|friends
15393162816380|13194139582059|1663016968588|friends
17517|4398046539843|1637593482681|business associate
27517|17592186052488|1644681083909|siblings
27517|6597069804507|1601657874587|business associate
6597069804173|19791209338080|1652540985531|friends
6597069804173|10995116325743|1628776762170|business associate
15393162796382|13194139551918|1672028514299|parents
26388279144142|19791209317589|1669911259398|friends
26388279144142|10995116335988|1667556914568|business associate
26388279074143|24189255878657|1659046553790|friends
26388279074143|28587302370605|1667932577667|business associate
13194139560831|2199023323066|1648978635468|siblings
13194139560831|28587302360023|1671750213416|parents
19791209337487|8796093060277|1659232906516|friends
17592186101935|6597069804904|1634872537908|other relatives
17592186101935|15393162836989|1635438595917|parents
2199023273072|28587302390087|1665634485519|parents
37520|26388279125238|1661959300741|siblings
37520|2199023263199|1645370462896|friends
19791209357488|21990232603078|1665553092037|parents
10995116285281|4398046539460|1621051686804|friends
13194139560833|28587302350752|1671806941226|parents
26388279134145|13194139571435|1664925633385|siblings
8796093099729|13194139550861|1656909544083|parents
8796093069730|19791209378201|1668291707757|parents
8796093069730|13194139550924|1657201204725|friends
15393162846386|28587302330212|1670089599983|business associate
15393162846386|8796093100863|1635969073070|siblings
24189255888594|28587302379699|1671043229083|business associate
10995116285283|26388279105325|1668272669146|siblings
26388279084147|2199023303837|1664811057149|other relatives
26388279084147|15393162836529|1664419890639|siblings
19791209327491|15393162827187|1671361796678|siblings
19791209327491|26388279115158|1660746471381|siblings
2199023293075|2199023303775|1624148627623|friends
28587302379699|2199023303058|1670349249052|business associate
30786325655251|10995116326199|1672228722796|friends
30786325655251|21990232563826|1672416853315|friends
4398046538628|26388279095330|1671168843227|business associate
24189255868596|10995116316310|1670705796192|business associate
13194139540837|6597069845245|1627791428084|friends
13194139540837|26388279094966|1659873777277|parents
4398046538629|26388279124625|1669970930996|friends
4398046538629|17592186082842|1651400288321|friends
24189255818598|17592186072809|1658679960993|siblings
24189255818598|28587302329720|1669172053957|parents
10995116335286|47812|1640415376491|friends
4398046588630|24189255869465|1670808625995|parents
4398046588630|17592186082260|1636882116342|parents
13194139550839|28587302360150|1671338610750|siblings
13194139550839|10995116285300|1669581255684|friends
15393162816391|19791209347917|1638011445995|other relatives
15393162816391|17592186072383|1661113683531|other relatives
15393162826391|10995116306385|1649751568608|friends
15393162826391|19791209338148|1645041612964|business associate
57527|15393162846705|1631228304134|friends
57527|10995116336158|1652949657667|business associate
28587302399703|15393162847119|1670688382980|friends
28587302399703|8796093030673|1671630884719|parents
17592186101944|8796093050376|1644242965195|friends
28587302399704|28587302340697|1668959509668|other relatives
8796093039737|10995116355325|1665969761544|business associate
10995116325289|4398046589558|1638587150564|business associate
10995116325289|17592186112814|1653453858440|business associate
17592186051946|24189255849530|1658214674423|business associate
17592186051946|15393162846539|1637012679692|siblings
17592186061946|24189255869280|1666150403365|friends
17592186061946|21990232604001|1657491894743|siblings
10995116315290|26388279085270|1668096991636|business associate
10995116315290|4398046558666|1643841859117|friends
2199023313082|17592186112128|1649233412637|parents
2199023313082|8086|1667069660285|friends
4398046548635|30786325656335|1672145997835|parents
30786325625259|19791209378193|1670909503352|friends
19791209367499|2199023273806|1668320330844|friends
19791209367499|2199023323727|1665465955817|friends
10995116295292|17592186062388|1668121502805|friends
10995116295292|13194139591021|1641085590803|business associate
26388279094156|4398046589023|1662915300800|business associate
26388279094156|24189255829278|1671143934885|business associate
4398046588636|27833|1604109650969|parents
4398046588636|28587302340262|1669142628584|siblings
13194139560845|15393162856949|1663076428331|business associate
37533|2199023303352|1668426409924|business associate
37533|8796093099982|1641877613102|friends
4398046588637|19791209337910|1657611155683|parents
8796093029742|10995116285449|1636276410097|friends
8796093029742|21990232613296|1656611586248|siblings
19791209317502|4398046549305|1642249757912|parents
19791209317502|2199023303360|1662100343361|parents
15393162836398|8796093060127|1670263038497|siblings
13194139600846|15393162797613|1664686069409|friends
17535|28587302330635|1668912394614|friends
17535|15393162866971|1629981848657|other relatives
8796093049743|13194139591212|1629869741661|friends
10995116315295|6597069844244|1638297552666|friends
47535|15393162866910|1671427174159|siblings
47535|17592186072373|1662768049882|siblings
8796093079743|67657|1666398024248|friends
8796093079743|30786325645806|1671762419736|business associate
15393162856399|30786325625952|1672510785590|siblings
15393162856399|4398046559395|1651253235086|friends
10995116295296|8796093050552|1653764712721|friends
6597069794192|21990232603854|1662882554718|siblings
24189255848608|18429|1669601369101|business associate
24189255848608|15393162796401|1667576805384|friends
21990232603056|26388279085215|1666669109664|friends
21990232603056|8796093090553|1657193397087|friends
17592186101952|6597069814686|1638688571698|parents
17592186101952|15393162797271|1635546999868|friends
15393162796401|6597069824770|1664327127329|parents
15393162796401|10995116345367|1665550150559|parents
19791209327505|6597069774447|1649843987007|siblings
30786325635265|2199023313968|1672218701739|business associate
4398046528642|6597069774673|1632720583495|business associate
21990232603058|30786325605510|1672245204836|friends
21990232603058|28587302390735|1671255353395|parents
21990232613058|4398046539516|1659956614482|friends
13194139610850|19791209377933|1656730943545|other relatives
4398046528643|10995116356504|1661699645840|business associate
4398046528643|24189255868678|1663087470063|friends
10995116285300|10995116296119|1654850982348|friends
28587302349716|21990232623577|1669001869091|siblings
10995116325300|6597069804676|1665892569851|siblings
4398046518645|21990232613853|1651931845221|friends
4398046518645|57577|1666268287676|siblings
21990232613061|10995116296253|1655141346574|friends
21990232613061|6597069784406|1655088678356|business associate
19791209367509|47555|1647555817538|parents
19791209367509|4398046589251|1651799776790|parents
19791209377509|2199023314209|1663666032164|parents
19791209377509|78186|1668902564520|friends
24189255818614|13194139561041|1662368297914|friends
13194139550854|10995116325801|1622712656565|business associate
47542|6597069785309|1618301157878|friends
13194139600854|19791209348030|1670183983135|friends
19791209307511|10995116285822|1640943532744|friends
19791209307511|26388279094666|1669844053660|siblings
2199023273095|26388279114695|1665653147685|business associate
2199023273095|17592186111932|1652963661097|siblings
21990232583063|21990232564141|1670850614690|business associate
21990232583063|13194139571552|1647870663750|friends
15393162826407|24189255859803|1665858044153|friends
30786325635271|2199023263969|1671390750288|other relatives
30786325635271|19791209308390|1671630500493|business associate
8796093039752|4398046548944|1666347643718|business associate
4398046568648|2199023264210|1596962823776|other relatives
17592186051961|15393162796967|1649462866576|parents
17592186051961|8796093039752|1643149743623|other relatives
21990232593065|8796093070713|1659368929076|parents
21990232593065|37677|1648463951425|friends
15393162836409|8796093090470|1663722313984|siblings
2199023313097|78338|1633000424230|siblings
2199023313097|28587302340468|1670157797937|parents
26388279144169|8796093090714|1668064948810|siblings
26388279144169|6597069774853|1671538693540|friends
10995116315306|24189255859459|1671791955593|friends
10995116315306|21990232634091|1665088367837|parents
