mediumId|accountId|multiplicityId|createTime|deleteTime|isExplicitDeleted|location
61572651165457|4859666572421124126|0|1672293051197|1893196800000|false|Japan -> Machida
61572651165457|4859666572421124126|1|1672238838333|1893196800000|false|China -> Taipei
61572651165457|4859666572421124126|2|1672037915677|1893196800000|false|India -> Andhra_Pradesh
61572651165457|4859666572421124126|3|1670837972842|1893196800000|false|Egypt -> Alexandria
61572651165457|4859666572421124126|4|1671231166478|1893196800000|false|China -> Gaobeidian
48378511632146|4880495445819803298|0|1663475650347|1893196800000|false|Sri_Lanka -> Peradeniya
48378511632146|4880495445819803298|1|1671386780925|1893196800000|false|China -> Baoji
48378511632146|4880495445819803298|2|1665877952378|1893196800000|false|Democratic_Republic_of_the_Congo -> Boma
48378511632146|4880495445819803298|3|1662749144245|1893196800000|false|China -> Baoding
48378511632146|4880495445819803298|4|1671669345939|1893196800000|false|Germany -> Aachen
48378511632146|4880495445819803298|5|1663873461531|1893196800000|false|Turkey -> Çankaya
48378511632146|4880495445819803298|6|1670941472960|1893196800000|false|China -> Changzhi
48378511632146|4880495445819803298|7|1663345454832|1893196800000|false|Russia -> Bishkek
4398046521108|4916523418205043651|0|1671927378122|1671942391292|true|Mexico -> Mexicali
4398046521108|4916523418205043651|1|1671575014987|1671942391292|true|Japan -> Tokushima
4398046521108|4916523418205043651|2|1671784086453|1671942391292|true|Thailand -> Hat_Yai
4398046521108|4916523418205043651|3|1671616860873|1671942391292|true|China -> Qiqihar
4398046521108|4916523418205043651|4|1671843678927|1671942391292|true|Malaysia -> Cyberjaya
4398046521108|4916523418205043651|5|1671824167916|1671942391292|true|Vietnam -> Điện_Biên_Phủ
4398046521108|4916523418205043651|6|1671579515918|1671942391292|true|Kenya -> Kitale
4398046521108|267119752898413448|0|1663426201112|1893196800000|false|Brazil -> João_Monlevade
4398046521108|267119752898413448|1|1672278029558|1893196800000|false|Philippines -> Bacolod
4398046521108|267119752898413448|2|1662629455212|1893196800000|false|Czech_Republic -> Hradec_Králové
30786325587733|4916806817327106598|0|1671934542855|1893196800000|false|Ethiopia -> Dire_Dawa
30786325587733|4916806817327106598|1|1672048046075|1893196800000|false|Russia -> Ivanovo_Oblast
30786325587733|4916806817327106598|2|1672056450065|1893196800000|false|Pakistan -> Jhang
30786325587733|4916806817327106598|3|1671876198785|1893196800000|false|China -> Nanchong
30786325587734|4832926174755687055|0|1657464245855|1893196800000|false|Indonesia -> Bandar_Lampung
30786325587734|4832926174755687055|1|1670625921127|1893196800000|false|India -> Siliguri
30786325587734|4832926174755687055|2|1665315569050|1893196800000|false|India -> Kerala
30786325587734|4832926174755687055|3|1655021321254|1893196800000|false|China -> Quanzhou
30786325587734|4793801702748736457|0|1639667638499|1893196800000|false|Morocco -> Rabat
30786325587734|4793801702748736457|1|1665227709414|1893196800000|false|Algeria -> Chief
30786325587734|4793801702748736457|2|1651183177949|1893196800000|false|India -> Hisar
30786325587734|4793801702748736457|3|1634950203311|1893196800000|false|China -> Ma'anshan
8796093032215|4834052349540449863|0|1670418220220|1893196800000|false|India -> Gujarat
8796093032215|4834052349540449863|1|1666079476101|1893196800000|false|India -> Cuttack
8796093032215|4834052349540449863|2|1658103046759|1893196800000|false|Japan -> Yokosuka
8796093032215|4834052349540449863|3|1651321773373|1893196800000|false|England -> Sheffield
8796093032215|4834052349540449863|4|1665309267693|1893196800000|false|Tanzania -> Dodoma
8796093032215|4834052349540449863|5|1650414659123|1893196800000|false|Pakistan -> Topi
39582418609944|4872614971105609082|0|1668953122613|1893196800000|false|England -> Manchester
39582418609944|4872614971105609082|1|1665846395705|1893196800000|false|Burma -> Loikaw
39582418609944|4872614971105609082|2|1667207943341|1893196800000|false|South_Korea -> Incheon
39582418609944|4872614971105609082|3|1672186499281|1893196800000|false|Tanzania -> Arusha
39582418609944|4872614971105609082|4|1661828401711|1893196800000|false|Pakistan -> Swabi
